Date,Open,High,Low,Close,Volume
2026-08-03,220.10,222.45,219.30,221.80,52341200
2026-08-04,221.90,224.15,220.75,223.60,48120500
2026-08-05,223.55,225.90,222.10,224.35,50982300
2026-08-06,224.40,226.70,223.15,225.90,47215800
2026-08-07,225.85,227.30,224.60,226.45,45890100
2026-08-10,226.50,229.10,225.80,228.75,53412700
2026-08-11,228.80,230.25,227.40,229.10,49675400
2026-08-12,229.15,231.60,228.30,230.95,51203900
2026-08-13,230.90,232.40,229.75,231.20,46789600
2026-08-14,231.25,233.80,230.60,233.15,52034800
